Word,V.Mean.Sum,V.SD.Sum,A.Mean.Sum,A.SD.Sum,D.Mean.Sum,D.SD.Sum
abortar,3.1,1.37,5.8,2.44,3.38,2.21
aborto,2.58,1.84,5.43,2.38,4.73,2.95
aborto involuntario,2.48,1.97,5.7,2.83,2.33,1.85
abracadabra,5.11,2.52,5.27,2.64,4.96,1.97
abrasador,4.24,2.07,3.61,2.76,4.3,2.36
abrasador,3.54,1.79,4.98,2.19,4.34,1.97
abrasión,5.26,1.24,3.57,1.99,5.65,2.1
abrasivos,4.26,1.69,6.1,1.89,4.94,2.32
abrazadera,4.85,1.09,3.9,2.26,4.97,2.48
abrazadera,4.6,1.47,5.05,2.5,4.58,2.26
abrazar,7,1.45,5.82,2.58,6.58,2.32
abrazo,7.6,0.99,3.83,2.96,6.65,2.03
abrazo,8.23,0.87,4.85,2.95,6.8,2.21
abrelatas,5.52,1.21,3.37,2.5,5.78,2.21
abridor,6,1.95,3,2.21,5.67,1.93
abrigo,5.29,2,3.1,1.77,6.68,2.31
abrigo,5.43,1.57,3.1,2.43,5.77,2.09
abrigo,6.5,1.61,3.25,2.19,6.11,1.91
abrumado,2.8,1.24,4.9,2.9,2.7,1.81
abrumador,3.89,1.7,4.86,2.83,2.61,1.42
abrumar,3.3,1.3,4.36,2.75,4.24,2.5
abrupta,3.28,1.64,5.23,2,3.75,1.8
absceso,2.79,1.58,4,2.38,3.95,2.31
absolución,6.58,1.68,3.38,2.11,5.75,2.33
absolución,6.19,1.72,4.95,2.31,5.03,2.36
absoluta,5.43,1.4,3.48,2.27,5.58,2.66
absolver,4.58,1.54,3.53,1.94,4.82,2.46
absolver,5.6,1.6,4.56,2.71,5.45,1.57
absorber,5.5,1.6,4.27,1.91,5.62,1.66
abstenerse,5.3,1.17,3.47,2.29,5.23,2.37
absténgase,4.4,0.94,3.1,1.81,6.08,2.25
abstinencia,3.43,1.63,3.15,2.37,5.64,2.85
abstracto,5.25,1.59,3.96,2.9,5.53,2.59
absurdo,4.45,1.92,4.02,2.06,5.06,2.39
absurdo,4.06,2.18,4.7,2.36,5.37,2.29
absurdo,5,1.73,5.95,2.35,5.14,2.07
abuela,7.5,1.92,3.2,2.69,5.39,2.48
abuela,7.62,1.66,3.75,2.57,6.32,2.79
abuelita,5.71,2.33,2.38,1.69,5,2.53
abuelo,7.32,1.64,2.95,2.26,5.55,2.11
abuelo,7,2,3.38,2.25,5.09,2.22
abuelo,5.68,2.61,3.77,2.45,6.15,2.35
abuelo,7.43,2.09,3.7,2.89,5.05,3.01
abulón,5.3,1.59,2.65,1.9,4.95,1.79
abundancia,6.67,1.5,4.72,2.7,5.66,2.19
abundancia,5.95,1.5,3.86,2.46,6.04,2.12
abundante,7.55,1.39,4.21,2.7,5.81,1.88
abundante,6.27,2.23,4.43,2.37,6.16,2.17
abundante,7.25,1.33,3.71,2.05,6.4,1.98
abundante,3.32,1.7,3.4,1.98,5.4,2.3
aburrido,2.95,1.58,3.65,2.54,4.96,2.39
aburrido,2.71,1.68,2.85,1.87,6.05,2.91
aburrido,3.4,0.94,1.67,1.03,4.71,2.51
aburrimiento,2.77,1.69,2.58,1.88,5.04,2.51
abusador,1.48,0.98,5,2.81,3.22,2.62
abusivo,2.05,1.7,5.27,2.43,3.58,2.5
abuso,1.53,1.07,6.21,2.17,2.9,2.17
abyecta,4,1.29,3.94,2.41,4.35,2.6
acabado,6.41,1.82,3.81,2.42,6.44,2.34
academia,5.32,1.89,3.77,2.16,5.38,1.71
académica,6.61,1.54,3.32,2.23,6.21,2.13
acantilado,4.77,1.77,5.18,2.72,4.09,1.82
acariciar,4.32,2.36,5.18,2.5,4.88,2.46
ácaro,3.9,2,4.68,2.53,5.19,1.57
accesible,6.68,1.38,3.2,2.42,6.58,2.24
acceso,6.68,1.39,5.3,2.32,6.89,2.18
accesorio,5.35,1.9,4.22,2.69,5.83,2.43
accesorio,5.05,1.28,2.9,1.74,5.5,2.13
accidentado,5.1,1.86,4.1,2.49,5.36,1.93
accidental,3.46,1.25,4,2.47,3.41,2.59
accidente,2.55,1.25,4.93,2.56,3,2.11
acción,6,1.64,6.19,2.56,6.17,2.01
acción gracias,6.79,2.59,4.95,2.44,6.25,2.17
accionista,4.48,1.99,2.96,2.14,4.94,2.51
accionista,4.9,1.52,3.5,2.28,4.4,2.53
acebo,6.67,1.96,4.3,2.64,4.97,2.18
aceite,3.91,1.82,4.25,2.57,5.63,2.89
aceitoso,4.14,1.46,4.53,1.93,4.62,2.42
aceituna,6.05,2.5,3.92,2.04,5.18,2.17
aceleración,6.19,1.54,6.73,2.1,5.76,2.05
acelerada,6.21,1.55,4.75,2.67,6.29,1.92
acelerador,5.63,1.16,5,2.45,6.65,1.84
acelerador,5.55,1.82,5.36,1.94,5.71,1.98
acelerante,4.59,1.59,4.81,2.14,6.04,2.01
acelerar,6.1,1.48,6.04,1.77,6.15,2.07
acelerar,6.1,1.25,4.86,2.43,5.96,2.34
acelerar,4.9,1.7,3.86,2.42,5.33,2.06
acento,6.48,1.54,4.95,2.67,5.36,2.47
aceptable,6.59,1.53,3.65,2.33,6.58,1.92
aceptación,6.84,1.31,4.3,2.82,6.49,2.43
aceptar,6.39,1.65,2.8,2.26,5.94,2.13
acera,5.5,1.38,2.64,1.4,4.65,2.29
acera,5.67,1.56,3.65,1.66,6.19,2.29
acero,4.95,1.56,3.86,2.26,5.68,2.34
acertijo,6.3,1.66,4.48,2.11,4.39,2.17
acetileno,4.11,1.63,3.67,2.06,4.7,1.84
achaparrado,4.5,1.54,4.14,2.55,5.3,2.55
achispado,5.6,1.7,4.7,1.99,4.57,2.36
acidez,2.9,1.41,4,2.47,4.25,2.67
ácido,3.26,2.02,4.77,2.37,4.26,2.43
aclamación,6.1,1.61,3.95,2.01,5.77,1.88
aclaración,6.06,1.51,3.25,2.17,5.64,1.7
aclarar,7.37,1.42,5.32,2.64,6.77,1.82
aclarar,6,1.03,2.85,2.28,6.04,1.93
acné,2.18,1.47,4.47,2.5,3.44,1.96
acogedor,7.28,1.58,3.56,2.7,6.69,1.97
acogedor,4.7,1.66,3.45,1.77,4.79,2.25
acolchado,5.14,2.15,2.87,2.03,5.56,2.48
acomodar,6.35,1.73,3,1.61,6.27,1.96
acompañar,5.47,1.22,3.85,1.84,5.63,2.36
acondicionador,5.84,1.01,3,2.41,6.38,2.28
acondicionamiento,4.89,1.18,3.77,2.09,5.96,2.33
acontecer,3.91,1.54,4.24,2.21,4.27,2.05
acoplamiento,5.4,1.79,4.61,2.62,5.68,2.38
acoplamiento,5.2,1.15,3.74,2.03,5.71,1.87
acorazado,4.43,1.63,3.41,2.36,5.3,2.38
acorazado,5.14,1.62,3.77,2.11,6.09,2.16
acorde,5.75,1.92,2.72,1.87,5.35,2.39
acordeón,5.26,2.08,2.94,2.21,5.21,2.11
acortar,5.05,1.56,2.77,1.8,5.35,2.08
acosador,2.55,1.76,5.82,2.34,4.04,2.58
acoso,2.45,1.61,5.15,2.85,4.05,2.61
acre,3.71,1.79,4.52,2.11,4.37,2.38
acreditado,6.47,1.81,3.52,1.97,5.53,1.81
acres,5.53,1.71,2.73,1.7,4.94,2.29
acrílico,5.52,1.81,3.73,2.31,5.42,2.15
acróbata,6,1.3,4.9,2.14,5.42,2.24
actitud,4.72,2.08,4.76,2.05,5.88,2.21
activación,6.14,1.53,3.52,2.33,6.88,1.62
active,5.7,1.77,3.78,2.54,6.28,2.13
actividad,6.21,1.75,4.86,2.48,6.45,1.67
activista,6.24,1.84,5.26,2.33,5.86,1.9
activos,7.25,1.21,4.43,2.84,6,2.29
actor,6.15,1.27,4.35,2.28,5.64,1.99
actriz,5.42,1.22,5.43,2.18,4.65,2.4
actuación,6.2,1.94,5.61,2.17,6.95,1.63
actual,5.35,1.87,3.29,2.71,5.73,1.35
actualidad,5.4,1.47,5.55,2.28,5.24,2.07
actualización,6.62,1.56,2.77,2.22,6,2.08
actualización,5.85,1.6,3.89,2.59,5.71,2.05
actualización,7.11,1.1,4.14,2.53,6.7,2.07
actuar,5.64,1.71,4.19,2.29,6.11,2.03
acuario,6.43,1.78,4.3,2.54,6.14,2.17
acuático,6.8,1.4,3.58,2.75,4.53,2.45
acuchillar,4.85,1.73,5.65,2.81,4.97,2.37
acuerdo,6.38,1.56,2.85,1.9,5.64,2.89
acuerdo,7.17,1.58,3.62,2.09,6.94,1.3
acuerdo,6.75,2.51,4.05,2.22,6.48,1.81
acuerdo,6.14,1.52,3.9,2.39,6.12,2.03
acumula,6.33,2,2.73,2.27,6.15,1.83
acumulación,3.7,1.75,4.82,2.3,5.24,2.21
acuoso,4.79,1.78,3.24,2,5.18,2.02
acupuntura,4.81,2.23,4.9,2.63,4.77,2.62
acurrucarse,7.63,1.42,5.54,3.11,6.83,2.09
acusación,3.38,1.75,5.48,2.23,3.62,1.92
acusación,3.08,1.38,4.16,2.67,4.46,2.64
acusación,3.89,1.88,5.25,2.34,4.17,2.23
acusado,4.05,1.51,4.14,2.43,3.95,2.46
acusar,2.68,1.63,5.32,2.08,4,2.32
acústica,6.33,1.2,3.19,1.83,5.86,1.67
acústico,7.1,1.62,4,2.43,5.79,1.58
adagio,5.55,0.83,3.38,1.88,5.13,2.07
adaptación,5.82,1.84,3.55,1.92,6.04,2.25
adaptar,5.84,1.3,3.9,2.36,5.75,2.43
adecuada,4.7,1.56,3.64,2.13,6.89,1.57
adecuado,5.7,1.13,3,2.1,6.16,2.12
adelantar,3.95,2.01,4.36,2.56,5.39,2.73
adepto,6.14,1.56,4.17,2.35,6.5,1.66
adhesivo,5.84,1.5,3.2,1.99,4.88,2.36
adhieren,5.17,2.12,3.52,2.18,3.9,1.86
adicción,3.52,1.81,4.48,2.87,3.84,2.63
adicional,6.15,1.76,3.61,2.17,4.95,1.99
adictivo,3.52,1.72,4.82,2.7,4.4,2.82
adicto,2.86,1.93,5.33,2.44,2.74,2.2
adicto,2.89,2.11,4.77,2.33,2.84,1.89
adicto,3.05,1.58,4.3,2.7,4.86,2.48
adicto al trabajo,3.48,1.93,4.05,2.62,4.92,2.89
Adidas,5.77,1.38,4.18,2.74,6.3,2.56
adivinador,4.32,1.52,4.39,2.48,4.79,2.59
adivinanza,3.95,1.96,3.27,2.03,3.96,2.29
adivinar,5.18,1.33,3.86,2.2,4.89,2.54
adjetivo,5.95,1.28,3.64,2.1,6.11,2.18
adjuntar,5.26,1.24,3.81,1.91,4.7,1.87
admin,4.37,1.71,3.64,2.5,5.83,2.48
administración,4.45,1.36,3.23,2,4.77,2.23
administrador,5.32,1.59,4.74,2.35,5.48,2.6
administrar,4.4,1.79,3.86,2.23,6.33,2.25
administrar,4.71,1.23,3.52,1.83,5.88,2.36
administrativo,4.79,1.62,3.21,2.2,5.9,2.17
admirable,7,1.97,4.57,2.63,5.81,2.66
admiración,7.58,1.98,5.52,2.19,6.11,1.79
admirado,7.25,1.37,5.95,2.16,6.94,2.07
admirador,7.05,1.43,6,2.25,6.27,1.55
admirador,6.81,2.16,3.7,2.2,6.05,2.7
admirar,7.35,1.27,5,2.27,7.33,1.65
admisible,5.16,1.61,2.9,1.71,6.21,1.9
admisión,5.91,1.34,3.69,2.02,5.54,2.52
admisión,6.29,1.23,3.6,1.5,5.96,2.42
admitir,5.56,1.79,3.35,2.43,4.56,2.12
adolescencia,6,1.65,5.1,2.53,4.44,2.34
adolescente,5.38,1.91,4.2,2.67,4,2.56
adolescente,5.1,1.61,3.86,2.32,4.89,2.15
adolescente,4.58,1.71,4.23,2.6,4.3,2.27
adolescentes,5.58,2.09,3.96,2.4,4,2.33
adolorido,3.15,1.46,4.48,1.89,4.62,2.5
adopción,6.68,1.92,4.82,2.44,5.62,2.5
adoptar,6.9,1.61,4.71,2.18,5.45,2.42
adoptivo,5.67,1.39,4.4,2.14,5.59,2.36
adorable,7.4,1.6,4.66,2.79,6.83,1.92
adoración,6.47,2.06,4.36,2.28,6.54,1.93
adorando,7.38,1.32,4.86,2.65,6.29,1.9
adorar,7.37,1.38,5.96,2.33,6.26,1.73
adornar,5.85,1.6,3.7,1.81,5.33,1.62
adquirir,5.5,1.76,4.86,2.01,7,1.89
adquisición,5,1.95,4.36,2.44,5.93,2.34
adrenalina,6.33,1.91,5.05,3.03,4.85,2.19
adrenalina,6.61,2.03,5.95,2.58,5.72,2.44
adulación,5.74,1.48,5.1,2.15,5.91,2.33
adulterio,2.81,2.06,6.42,2.48,3.33,2.46
adúltero,2.77,1.97,5.68,2.85,3.2,2.55
adulto,5.9,2.1,4.36,2.5,6.46,2.07
advenedizo,4.6,0.94,4.45,1.95,6.11,2
adversa,3.68,1,3.89,2.22,3.35,1.87
adversario,4.55,2.11,4.41,2.04,5,2.3
adversario,4.42,1.46,5.5,1.99,5.8,1.58
adversidad,4.26,2.47,3.82,2.61,4.63,1.95
advertencia,3.48,1.78,6.25,2.53,6.47,2.97
advertir,4.9,2.21,4.65,2.79,5.27,2.16
adyacente,5.15,1.27,2.78,1.96,4.27,1.7
aéreo,6.04,1.4,3.67,2.2,5.17,2.28
aeróbic,6,1.11,5.1,2.17,5.7,2.4
aerodeslizador,5.94,1.39,4.25,2.49,4.93,2.34
aerodinámica,6.16,1.38,4.33,2.24,5.1,2.34
aerodinamizar,5.3,1.45,3.64,1.97,5.84,1.95
aeródromos,5.74,1.48,4.38,2.22,4.82,2.02
aeroespacial,5.79,1.69,4.52,2.29,5.17,2.25
aeropuerto,6,2.14,5.5,2.78,5.79,2.84
afable,5.43,2.01,3.14,2.29,6.04,1.97
afecto,5.65,1.23,3.61,2.23,6.39,1.5
afecto,7.89,1.05,5.64,2.63,6.6,1.83
afeitarse,4.9,1.76,3.11,2.18,6.19,2.6
afición,7.68,1.29,3.55,2.2,6.82,1.33
afición,6.67,1.46,3.05,2.06,6.81,1.86
aficionado,4.58,1.17,3.55,2.09,5.25,2.34
aficionado,6.79,1.75,3.26,2.07,6.42,1.8
afilado,6.72,1.36,3.21,1.99,5.52,2.02
afilar,5.42,1.17,3.76,1.7,5.48,1.7
afilar,5.67,1.41,4.74,2.64,5.67,1.63
afiliación,5.32,0.99,3.9,1.97,5.3,2.14
afiliación,5.61,1.88,4.45,2.36,5.5,2.26
afín,6.47,1.98,3.23,2.07,5.46,2
afinidad,5.86,1.32,4.29,2.33,6.55,1.9
afirmación,5.95,2.37,3.95,1.67,6.53,2.26
afirmar,5.68,1.49,4.64,2.13,5.93,2.28
afirmativo,5.94,2.04,3.64,2.13,6.78,1.88
aflicción,3.76,1.92,5.1,2.25,4.17,2.38
afligido,2.79,1.93,4.59,2.02,3.25,1.73
afligirse,2.8,1.79,4.56,2.48,3.38,2.22
aflojar,5,1,4,2.43,6,2.2
afortunado,7.33,2.03,3.81,2.36,5.83,2.39
afortunado,7.32,1.45,5.3,2.56,5.36,2.51
afrenta,4.53,1.17,4.5,2.46,5.04,1.9
africano,6.42,1.74,4.11,2.28,5.8,1.94
afrodisíaco,6.43,1.99,5.96,2.46,5.04,2.34
afrutado,6.71,1.85,5.26,1.79,6,1.9
afueras,5,0.92,3.75,2.1,4.88,1.11
agacharse,4.79,1.65,4.05,1.79,4.87,1.79
agallas,6.17,1.86,5.2,2.48,5.64,1.55
agarradera,4.58,2.17,3.45,2.52,4.96,1.73
agarrar,5.44,1.85,4.5,3,5.28,2.16
agencia,5.14,1.46,3.17,1.97,4.89,2.37
agenda,5.05,2.01,3.62,2.26,5.36,2.52
agente,5.23,1.95,3.43,2.13,5.65,2.37
ágil,5.95,2.2,4.95,2.01,6.09,2.11
ágil,6.45,1.28,3.41,2.06,6.07,2.03
ágil,6.25,1.16,4.5,2.09,5.41,2.54
ágil,4.79,1.87,5.45,1.9,5.14,1.75
agilidad,6.55,1.19,4.21,2.29,6.41,2.02
agitación,2.84,1.42,4.75,2.38,3.29,1.76
agitar,3.36,1.68,5.82,2.52,4.55,2.39
aglutinante,5.16,1.07,3.17,1.95,5.29,2.34
agobiados,3.27,1.41,4.1,2.28,3.65,2.22
agonía,2.46,1.64,5.78,2.78,4,2.81
agonía,4.5,0.99,4.71,2.12,4.65,0.78
agonizante,2.68,1.49,6.71,1.95,4.04,2.01
agotador,3.36,1.62,5,2.26,2.95,1.36
agotador,4.14,2.12,5.14,2.51,4.65,1.76
agotamiento,3.21,2.18,4.52,2.09,4.29,2.73
agraciado,6.95,1.05,4,2.97,6.52,2.12
agradable,6.9,1.94,3.55,2.21,6.97,1.74
agradable,7.63,1.5,4.77,2.18,7,1.89
agradable,6.83,1.58,4.23,2.47,7.35,1.75
agradable,7.24,1.51,2.91,2.52,6.7,2
agradable,7.65,1.09,5.2,2.8,6.15,2.09
agradecida,7.14,1.8,4.35,2.27,6.9,2
agradecido,5.05,1.82,3.24,2.39,4.84,2.51
agradecido,7.5,1.34,4.29,2.51,7,2.13
agradecido,7.76,1.65,4.52,2.62,6.55,1.99
agravamiento,2.48,1.12,5.35,2.81,4.45,2.56
agravan,2.55,1.19,5.9,2.19,4.85,2.56
agravio,3.45,2.26,3.74,2.8,4.33,2.3
agregar,6.23,1.77,4,2.38,6.79,2.07
agresión,3.18,2.02,5.69,2.49,4.65,2.31
agresividad,3.58,2.12,6.43,2.11,5.21,2.3
agresivo,3.08,1.5,5.87,2.53,5.49,2.59
agresivo,3.1,1.37,4.6,1.76,4.23,2.39
agresor,2.8,1.01,6.55,1.57,4.57,2.73
agrícola,5.5,2.41,3.55,2.18,5.74,1.66
agricultor,6.14,1.61,3.67,2.22,6.1,2.22
agricultura,6.1,0.91,3.05,2.4,6,1.87
agricultura,5.47,2.67,3.25,2.07,5.83,1.97
agridulce,5.09,1.51,4.21,1.81,4.52,1.83
agrio,3.95,1.93,4.95,2.06,4.34,2.33
agrios,6.36,1.29,4.16,2.64,6.46,1.84
agrupamiento,4.9,1.21,3.76,1.92,5.64,2.41
agua,7,1.74,3.71,2.39,6.12,2.54
Agua Con Gas,5.47,2.06,4.77,2.27,6.04,2.12
agua fresca,7.29,1.68,2.82,1.76,5.76,1.7
agua mar,5.95,1.93,3,2.05,4.48,2.5
agua salada,4.71,2.03,3.58,2.54,4.26,2.23
agua Seltz,4.33,1.33,2.9,2.13,4.4,1.29
agua sucia,3.74,2.1,3.41,2.24,4.5,2.18
aguacate,6.32,2.14,4.05,2.3,5.22,2.5
aguafiestas,3.84,1.86,4.14,2.19,4.05,2.3
aguamarina,6.5,1.28,3.6,2.37,4.82,2.02
aguamarina,6.4,1.9,3.9,2.85,4.95,2.65
aguanieve,4.4,1.88,4,2.53,3.88,1.9
aguante,6.55,1.34,4.62,2.3,6.33,2.12
aguardiente,5.79,2.1,4.65,2.39,5.42,2.29
aguardiente manzana,5.79,1.96,3.8,2.31,5.74,1.76
aguas residuales,2.33,1.56,4.09,2.37,3.89,2.17
aguda,5.1,1.94,5.09,1.95,5.11,2.33
agudísimo,2.1,1.51,5.3,2.77,3.36,2.22
agudo,5.24,2.02,6,2.11,4.92,2.1
aguijón,4.65,1.66,4.23,2.29,5.3,1.66
aguijón,3.9,1.83,4.96,2.6,4.36,2.57
águila,6.47,1.5,4.57,2.77,5.09,2.09
aguileña,3.7,2.25,5.14,2.96,3.85,2.38
aguja,3.97,1.73,4.36,2.35,5.12,2.44
agujereado,3.95,1.65,4.33,2.33,4.59,2.4
agujero,5.28,1.53,2.95,2.54,3.72,1.96
agujero gusano,4.95,2.18,4.09,2.31,3.86,2.37
ahijado,6.05,1.81,3.05,2.2,6.44,1.91
ahogar,2.68,1.57,4.75,2.59,4.2,2.28
ahogarse,2.33,1.53,5.35,2.69,2.65,1.87
ahorrador,6.44,2.2,2.68,1.63,5.84,1.97
ahorro,5.72,2.11,2.95,2.26,5.93,2
ahorros,7.67,1.53,2.86,2.29,6.85,2.24
ahoy,5.58,1.64,3.95,2.2,5.45,1.88
ahumado,3.73,2.03,4.87,2.42,5.26,2.05
airado,2.9,1.62,4.71,2.74,3.6,2.33
airbag,5.4,1.93,3.64,1.97,4.81,2.32
aire,6.71,1.85,3.25,2.55,5.72,2.8
aire,5.25,1.86,3.52,1.91,4.48,2.24
aire,5,1.59,5.23,2.22,4.84,2.24
aislado,5.21,2.55,3.45,2.34,4.39,2.13
aislamiento,5.37,1.07,3.71,2.22,5.56,2.09
aislamiento,3.77,2.07,3,2.29,4.52,2.58
aislar,4.35,1.84,4.6,2.76,4.38,2.12
ajedrez,5.05,2.07,2.86,2.06,5,2.43
ajenjo,3.53,1.98,3.7,2.34,3.95,1.82
ajenjo,4.38,1.69,3.36,1.81,4.48,1.72
ajetreo,4.52,1.86,5.74,2.31,4.95,2.63
ajo,5.67,1.81,4.12,2.53,6.62,2.04
ajustado,5.63,1.67,3.25,1.98,5.54,2.28
ajustador,4.25,1.41,3.5,1.74,5.84,1.77
ajustar,5.21,1.9,4.7,2.72,6.3,2.27
ajustarse,4.78,1.93,3.9,2.4,3.67,2.87
ajuste,5.76,1.67,3,2.07,6,1.88
ajuste,5.53,1.22,4.59,2.36,4.53,1.93
ajuste,6.28,2.08,4.35,2.66,6.11,1.91
ajuste cuentas,4.9,1.33,5.22,2.21,5.46,2.19
al aire libre,7.33,1.8,3.55,2.39,5.2,2.14
al aire libre,6.91,1.85,3.94,2.61,6.2,2.36
al azar,3.28,1.67,4.67,1.8,3.7,2.09
al mando,4.57,1.91,5.95,2.19,4.64,2.74
al por mayor,6.33,1.43,3.48,1.91,5.08,2.2
Al por menor,5,1.08,3.62,2.16,6.12,2.13
ala,6.15,1.69,4.32,2.63,6.5,1.58
alabanza,7.65,1.31,5.45,2.04,6.57,1.8
alabastro,5.5,1.43,3.95,2.06,5.35,2.5
alacena,4.81,1.33,3.52,2.25,5.65,1.77
alambrado,5.05,1.23,3.75,2.31,5.1,2.12
alambre,4.86,1.78,4.2,2.12,6.16,2.39
álamo temblón,6.57,1.66,4.11,2.35,5.5,1.95
alardear,4.05,1.36,3.5,2.19,5.32,1.89
alarma,3.86,1.98,6.85,2.39,6.58,2.73
alarmante,3.52,2.04,6.5,2.09,4.05,2.2
alarmante,5.17,1.89,5.23,2.27,4.64,2.44
albacea,3.95,1.94,5.1,2.43,5.54,2.77
albahaca,6.43,2.01,3.82,2.28,5.36,1.87
albaricoque,5.95,2.19,4.29,2.12,5.94,2.54
albatros,5.68,2.31,3.09,1.6,4.91,1.95
Albergue,4,2.3,4.27,2.12,3.46,1.91
albino,4.9,1.51,3.09,1.6,4.05,1.83
albóndiga,6.68,1.59,4.79,2.57,5.38,2.31
alborada,3.62,2.18,3,1.98,4.3,2.35
alborotador,3.25,1.74,5.24,2.34,5.29,2.49
alboroto,5.23,1.07,5.19,2.14,5.33,2.14
alboroto,4.21,1.99,7.57,1.43,4.43,2.5
alboroto,3.15,2.01,6.19,2.38,3.25,2.38
alboroto,4.35,1.5,6.27,1.7,5.11,2.51
álbum recortes,5.71,1.95,3.9,2.05,6.91,1.78
alcachofa,5.3,1.75,3.5,2.48,5.48,2.41
alcalde,4.59,1.5,4.15,2.41,6.21,2.44
alcance,4.94,1.66,3.95,1.91,5.74,2.08
alcance,5.11,0.74,3.9,1.77,5.57,1.97
alcance,5.17,0.79,3.48,1.94,4.83,2.21
alcantarilla,2.9,1.76,3.39,2.06,4.12,1.4
alcanzar,5.85,2.03,3.11,2.19,7.08,2.19
alcanzar,5.78,1.44,3.35,2.25,5.72,1.99
alcaparra,4.9,1.48,3.9,2.29,5.18,2.54
alce,5.81,1.97,3.48,2.04,4.67,2.14
alce,6.71,1.45,4.85,2.35,4.97,2.16
alcoba,5.5,1.91,3.32,2.39,5.33,2.28
alcohol,4.11,2.08,5.17,1.86,4,2.5
alcohólico,2.49,1.54,5.48,2.69,3.27,2.45
alcoholismo,2,1.61,5,2.45,3,2.53
ale,5.95,1.31,4.1,2.1,5.17,2.08
aleación,5.2,1.85,3.32,2.06,5.9,1.64
aleatorio,5.37,1.89,4.15,2.58,4.71,2.4
alegar,3.26,1.85,4.32,2.5,3.42,1.32
alegre,8,1.41,5.76,2.41,7.32,1.76
alegre,7.21,1.65,5.86,2.41,6.2,1.91
alegre,7.47,1.12,5.95,2.44,7.4,1.55
alegre,8.21,0.98,5.53,2.88,7.05,2.08
alegre,7.2,2.11,4.57,2.62,7.1,1.79
alegre,6,1.76,6.57,2.13,5.75,2.05
alegría,7.1,1.5,5.33,2.47,6.37,2.23
alegría,5.52,2.11,4.61,2.17,4.27,2.51
alegría,6.95,2.13,4.76,2.47,6.79,1.9
alegría,8.21,1.18,5.55,2.85,7,2.05
Alejate,5.47,1.81,3.6,2.35,6.47,2.32
alentador,6.89,1.85,4.23,2.47,6.87,2.01
alentar,7.16,1.26,4.38,2.42,6.2,2.25
alergia,2.9,1.55,3.9,2.17,3.5,2.19
alérgica,3,1.86,5.4,2.44,3.81,2.43
alerta,5.38,1.72,5.14,2.41,6.58,2.07
aleta,5.27,2.1,4.45,2.54,5.45,2.31
aleta,5.84,1.54,3.05,2.14,5.15,1.93
aleteo,5.7,1.81,4.86,2.32,5.37,2.03
alfa,5.5,2.24,3.67,2.63,6.32,2.48
alfabetismo,7.55,1.47,3.95,2.77,6.36,2.48
alfabeto,5.95,1.94,3.15,2.25,5.79,2.62
alfalfa,4.79,1.9,3.67,1.91,5.73,1.83
alfanje,5,1.41,4.55,1.84,5.26,1.82
alfeñique,3.55,1.23,4.21,2.43,3.79,2.39
alfiler,5.29,1.52,3.73,1.98,5.76,1.61
alfombra,5.95,1.5,2.77,1.6,5.1,1.81
